transaction_id,customer_id,merchant_id,transaction_time,amount,country,status,fraud_score,risk_level,fraud_reasons
TXN1024534,406,109,2025-01-08 00:07:00,2675.92,UAE,SUCCESS,5,High,"velocity_10min,odd_hour,location_change"
TXN1012874,411,248,2025-01-11 13:52:39,145364.14,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1041970,480,67,2025-01-29 00:08:00,3091.78,UAE,SUCCESS,5,High,"velocity_10min,odd_hour,location_change"
TXN1038514,535,38,2025-01-07 07:31:33,199072.03,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1032304,555,286,2025-01-19 06:43:43,98018.64,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1048483,612,150,2025-01-10 05:39:45,105580.84,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1034833,630,237,2025-01-24 09:17:57,113105.02,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1003628,647,43,2025-01-22 20:48:00,101289.26,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1048523,673,294,2025-01-15 11:26:27,145978.71,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1011510,678,52,2025-01-02 06:37:53,73057.51,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1008694,692,86,2025-01-05 18:07:42,198681.97,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1003130,708,14,2025-01-08 09:05:15,58771.98,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1003029,726,57,2025-01-03 18:09:28,187992.53,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1030932,746,252,2025-01-26 18:18:00,64914.91,USA,FAILED,5,High,"high_amount,location_change"
TXN1039180,762,184,2025-01-26 05:28:28,119784.3,Singapore,SUCCESS,5,High,"high_amount,location_change"
TXN1014647,775,275,2025-01-23 15:20:15,175365.15,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1018970,769,259,2025-01-18 14:14:38,171747.08,UAE,SUCCESS,5,High,"high_amount,location_change"
